,text,created_at,retweet_count,favorite_count,is_retweet,word,china_virus,enlargen
10,Great businessman &amp; philanthropist Bernies Marcus Co-Founder of Home Depot said that Congress was too distracted by the (phony) Impeachment Witch Hunt when they should have been investigating  CoronaVirus when it first appeared in China. Media played a big roll also!@dcexaminer,4/12/20 16:10,1987,1,FALSE,CoronaVirus,0,0
11,So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe NOT China. This is a first! I wonder what the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs and obviously want back in. Sad!,4/11/20 23:34,43408,176521,FALSE,CoronaVirus,0,0
12,So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe NOT China. This is a first! I wonder where the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs and obviously want back in. Sad!,4/11/20 22:27,8950,30643,FALSE,CoronaVirus,0,0
13,So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe NOT China. This is a first! I wonder what the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs and obviously want back in. Sad!,4/11/20 22:22,953,3197,FALSE,CoronaVirus,0,0
14,RT @WhiteHouse: In response to the virus the American people have launched the greatest mobilization of our society since World War II. 🇺🇸…,4/10/20 20:55,12381,0,TRUE,virus,0,0
15,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/OtJWAa9yHo,4/10/20 17:53,8428,0,TRUE,Coronavirus,0,0
16,RT @SenTomCotton: .@Max_Fisher claims—without evidence—that I believe the China virus was “produced by a Chinese weapons lab.” He should ha…,4/10/20 12:39,7505,0,TRUE,China,1,1
17,RT @GreggJarrett: Coronavirus Crisis – Americans Fear the Lockdown More Than The Virus https://t.co/hVDzBPypAQ,4/10/20 12:34,7873,0,TRUE,Coronavirus,0,0
18,RT @cybergenica: Macron faces calls to allow wider use hydroxychloroquine in coronavirus fight: report https://t.co/APZk7159k0 #FoxNews #CN…,4/10/20 12:19,5844,0,TRUE,coronavirus,0,0
19,RT @KimStrassel: The World Health Organization’s bows to China have harmed the global response to the coronavirus.  https://t.co/uC0kgXFCK9…,4/10/20 5:19,10874,0,TRUE,China,0,0
20,RT @FrancisBrennan: What is Joe Biden doing with his hand here?It looks like Biden’s teleprompter went down during his coronavirus press…,4/10/20 5:04,4480,0,TRUE,coronavirus,0,0
21,RT @FLOTUS: As the CDC continues to study the spread of the COVID-19 they recommend people wear cloth face coverings in public settings wh…,4/10/20 5:00,15010,0,TRUE,COVID-19,0,0
22,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/38GuIW79Gh,4/9/20 22:23,5763,0,TRUE,Coronavirus,0,0
23,.@OANN  A key CoronaVirus Model is now predicting far fewer deaths than the number shown in earlier models. That’s because the American people are doing a great job. Social Distancing etc. Keep going!,4/9/20 15:08,31291,182657,FALSE,CoronaVirus,0,0
24,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/jgENbi406M,4/8/20 21:47,6864,0,TRUE,Coronavirus,0,0
25,RT @AP: The last restrictions on movement have been lifted in the central Chinese city where the coronavirus pandemic began. People are goi…,4/8/20 12:25,5136,0,TRUE,Chinese,0,0
26,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/kszgnReztL,4/7/20 21:43,7494,0,TRUE,Coronavirus,0,0
27,The W.H.O. really blew it. For some reason funded largely by the United States yet very China centric. We will be giving that a good look. Fortunately I rejected their advice on keeping our borders open to China early on. Why did they give us such a faulty recommendation?,4/7/20 15:04,113609,462619,FALSE,China,0,0
28,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/Noma8NXmag,4/6/20 21:42,8188,0,TRUE,Coronavirus,0,0
29,RT @KatrinaPierson: Starting TONIGHT! @TeamTrump #WarRoomWeeklyFollowing the @realDonaldTrump Covid-19 update!! #KAG2020 🇺🇸,4/6/20 13:18,5403,0,TRUE,Covid-19,0,0
30,Advertising in the Failing New York Times is WAY down. Washington Post is not much better. I can’t say whether this is because they are Fake News sources of information to a level that few can understand or the Virus is just plain beating them up. Fake News is bad for America!,4/6/20 13:08,32064,161225,FALSE,Virus,0,0
31,RT @yaneerbaryam: BREAKING: Coronavirus Outbreak. Good news on multiple frontsUS today now at 23373 yesterday at this time was 30571.…,4/6/20 12:45,12917,0,TRUE,Coronavirus,0,0
32,For humanitarian reasons the passengers from the two CoronaVirus stricken cruise ships have been given medical treatment and when appropriate allowed to disembark under strict supervision. Very carefully done. People we’re dying &amp; no other countries would allow them to dock!,4/6/20 11:49,16022,78401,FALSE,CoronaVirus,0,0
33,I will be having a White House CoronaVirus Task Force meeting in a short while. May or may not do a News Conference after the meeting depending on new information. Talks &amp; meetings today are proving promising but a rough two weeks are coming up!,4/5/20 19:30,19568,92363,FALSE,CoronaVirus,0,0
34,RT @OANN: RNC Chairwoman Praises President Trump’s Virus Responsehttps://t.co/77LvKHv5QA #OANN https://t.co/kIHqeO1mZk,4/5/20 2:37,5624,0,TRUE,Virus,0,0
35,RT @OANN: Hydroxychloroquine proving an effective treatment for coronavirus patien... https://t.co/L3imNmv1ua #OANN @PearsonSharp,4/5/20 2:35,7909,0,TRUE,coronavirus,0,0
36,RT @TeamTrump: It took TWO MONTHS for Joe Biden to finally admit that President @realDonaldTrump's decision to restrict travel from China w…,4/5/20 2:25,8632,0,TRUE,China,0,0
37,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/1hZPOGtyl9,4/4/20 20:14,7757,0,TRUE,Coronavirus,0,0
38,RT @jsolomonReports: Hydroxychloroquine rated top drug by doctors on front line of COVID-19 who also fear a second wave https://t.co/Gk9ixz…,4/4/20 15:25,11380,0,TRUE,COVID-19,0,0
39,RT @jsolomonReports: Trump makes more recommendations for nursing homes where deadly coronavirus spread rapidly https://t.co/Dzeq5A6Pi1,4/4/20 15:21,4484,0,TRUE,coronavirus,0,0
40,RT @jsolomonReports: Trump names White House lawyer to be watchdog over coronavirus bailout money https://t.co/7ajl4T3tny,4/4/20 15:21,6992,0,TRUE,coronavirus,0,0
41,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/hNZ4Y7sEUl,4/3/20 21:24,6799,0,TRUE,Coronavirus,0,0
